Coll_Event,Chakra,Date,Time_Start,Time_End,Purpose,Temp_Start,Temp_End,Weather_Start,Weather_End,Notes,Data Entry Initials
2201,RB1,10/5/16,7:58,9:19,Fruit survey,25.3,28.5,cloudy,cloudy,,SB
2202,CC1,10/8/16,10:51,14:30,Fruit survey/Marking trees,28.5,31.1,cloudy,semi cloudy,,SB
2203,CC2,10/8/16,14:31,15:22,Fruit survey/Marking trees,31.1,31.9,semi cloudy,semi cloudy,,SB
2001,CC1,10/9/16,7:00,7:53,Collection,26,25.5,cloudy,cloudy,,SB
2501,CC1,10/9/16,8:03,11:19,MF,25.5,29,light rain,light rain,rain 8:10-8:50,SB
2002,CC1,10/9/16,11:35,12:02,Collection,28.1,27.7,light rain,cloudy,,SB
2003,CC2,10/10/16,7:05,7:50,Collection,23.9,25.8,cloudy,cloudy,,SB
2502,CC2,10/10/16,7:58,10:58,MF,26.1,29.2,cloudy,cloudy,,SB
2004,CC2,10/10/16,11:30,11:54,Collection,30.2,29.9,cloudy,cloudy,,SB
2204,SJ1,10/11/16,13:47,15:35,Fruit survey/marking trees,31.3,30.5,semi cloudy,semi cloudy,,SB
2601,SJ1,10/11/16,15:35,15:50,Banana stems,30.5,27.3,semi cloudy,semi cloudy,,SB
2602,SJ2,10/11/16,16:13,16:30,Banana stems,27.1,27.1,light rain,light rain,,SB
2005,SJ1,10/12/16,7:00,8:02,Collection,22.9,25.1,few clouds,few clouds,,SB
2007,SJ2,10/12/16,6:59,7:52,Collection,22.2,27,few clouds,few clouds,,SB
2503,SJ1,10/12/16,8:24,10:05,MF,25.2,29,few clouds,few clouds,,SB
2205,SJ2,10/12/16,10:25,11:00,Fruit survey,30.7,30.2,few clouds,few clouds,,SB
2006,SJ1,10/12/16,11:30,12:17,Collection,29.6,30.3,few clouds,semi cloudy,,SB
2008,SJ2,10/12/16,11:29,12:20,Collection,29.5,32.2,few clouds,semi cloudy,,SB
2504,SJ2,10/12/16,14:18,16:20,MF,29.8,29.6,few clouds,few clouds,,SB
2603,RB1,10/18/16,16:36,16:50,Banana stems,30.3,29.6,clear,clear,,SB
2206,RB1,10/19/16,11:12,12:01,Fruit survey,30.6,32.5,clear,clear,,SB
2009,RB1,10/20/16,7:06,7:55,Collection,24.3,24.5,few clouds,cloudy,,SB
2505,RB1,10/20/16,8:00,10:50,MF,24.9,29.2,cloudy,few clouds,,SB
2010,RB1,10/20/16,11:30,12:02,Collection,30,31.8,semi cloudy,semi cloudy,,SB
2207,CC2,10/21/16,9:42,11:14,Fruit survey,29.8,31.5,semi cloudy,semi cloudy,,SB
2208,CC1,10/21/16,11:41,13:25,Fruit survey,30.5,31.4,semi cloudy,semi cloudy,,SB
2604,CC1,10/21/16,13:31,13:40,Banana stems,32.9,31.5,few clouds,few clouds,,SB
2605,CC2,10/21/16,14:08,14:20,Banana stems,33.5,30.9,semi cloudy,semi cloudy,,SB
2013,CC2,10/22/16,7:09,8:03,Collection,24.5,25.8,cloudy,light rain,interrupted by rain,SB
2011,CC1,10/22/16,7:23,8:07,collection,24.4,23.9,light rain,cloudy,interrupted by rain,SB
2506,CC2,10/22/16,8:52,11:12,MF,26.3,30,cloudy,semi cloudy,,SB
2014,CC2,10/22/16,11:30,12:31,Collection,32.2,31.1,semi cloudy,semi cloudy,,SB
2012,CC1,10/22/16,11:28,12:26,Collection,30.3,31.5,semi cloudy,cloudy,,SB
2507,CC1,10/22/16,13:39,15:28,MF,31.8,32.2,few clouds,few clouds,,SB
2701,CC2,10/23/16,8:01,12:00,CW Poll,n/a,n/a,few clouds,few clouds,,SB
2209,SJ2,10/25/16,9:44,11:56,Fruit survey,28.6,32.9,few clouds,few clouds,,SB
2607,SJ2,10/25/16,11:56,12:10,Banana stems,32.9,33.4,few clouds,few clouds,,SB
2210,SJ1,10/25/16,15:00,16:50,Fruit survey,24.8,26.3,cloudy,few clouds,no end data so had to use banana stem collection start data,SB
2606,SJ1,10/25/16,16:54,17:20,Banana stems,26.3,29,few clouds,semi cloudy,,SB
2015,SJ1,10/26/16,7:00,7:58,Collection,23.9,25.8,cloudy,semi cloudy,,SB
2508,SJ2,10/26/16,8:23,10:44,MF,27.3,27.3,few clouds,few clouds,,SB
2017,SJ2,10/26/16,7:00,7:50,Collection,25.1,27.2,few clouds,few clouds,,SB
2016,SJ1,10/26/16,11:31,12:24,Collection,29.4,31.5,few clouds,few clouds,,SB
2509,SJ1,10/26/16,14:09,15:38,MF,30.5,31.8,few clouds,few clouds,,SB
2211,RB1,10/28/16,14:18,15:37,Fruit survey,23.3,24.7,cloudy,cloudy,,SB
2019,RB1,10/29/16,7:02,8:07,Collection,22.8,25.5,cloudy,cloudy,,SB
2510,RB1,10/29/16,8:22,11:15,MF,26.1,29.9,cloudy,clear,,SB
