CollectingEvent,Chakra,Tree,Dist,Ht,Diam,Trt,Branch,Date,Fruit (y/n) ,Size (if Y for Fruit),Notes
2501,CC1,1,23,123,7,O,A,10/21/2016,N,,
2501,CC1,1,184,201,1.5,H,B4C4-5,10/21/2016,N,,
2501,CC1,1,94,184,6,O,A6-7,10/21/2016,N,,
2501,CC1,1,87,150,8,O,B,10/21/2016,N,,
2501,CC1,1,104,162,7,H,B1-2,10/21/2016,N,,
2501,CC1,1,373,143,1.5,O,B4M1-2,10/21/2016,N,,
2501,CC1,1,381,127,1,O,B4O-P,10/21/2016,N,,
2501,CC1,1,92,177,1.25,H,C1F,10/21/2016,Y,1.15,
2501,CC1,1,92,176,1,O,C1G,10/21/2016,N,,
2501,CC1,1,95,178,1.5,O,C1E,10/21/2016,N,,
2501,CC1,1,98,181,1.5,H,C1E,10/21/2016,N,,
2501,CC1,1,100,184,0.75,O,C1H,10/21/2016,N,,
2501,CC1,1,41,118,7,O,C1-2,10/21/2016,N,,
2501,CC1,1,167,168,2.25,H,C6-7,10/21/2016,N,,
2501,CC1,1,163,170,1.5,O,C4,10/21/2016,N,,
2501,CC1,4,123,134,6,O,A1-2,10/21/2016,N,,
2501,CC1,4,124,135,5.5,H,A1-2,10/21/2016,Y,CW,
2501,CC1,4,141,137,5.5,O,A1-2,10/21/2016,N,,
2501,CC1,4,157,136,5,O,A2-3,10/21/2016,N,,
2501,CC1,4,185,133,4.5,H,A2-3,10/21/2016,Y,0.97,
2501,CC1,4,229,139,4,O,A3-4,10/21/2016,N,,
2501,CC1,4,211,124,3.5,O,A3,10/21/2016,N,,
2501,CC1,4,216,124,2.25,H,A3,10/21/2016,N,,
2501,CC1,4,226,124,2.25,O,A3,10/21/2016,N,,
2501,CC1,4,85,133,8,O,B,10/21/2016,N,,
2501,CC1,4,95,142,8,H,B,10/21/2016,Y,1.03,
2501,CC1,4,116,158,6.5,O,B1,10/21/2016,N,,
2501,CC1,4,129,154,5,O,B2-3,10/21/2016,N,,
2501,CC1,4,137,155,5,H,B2-3,10/21/2016,Y,1.2,
2501,CC1,4,151,156,5,O,B2-3,10/21/2016,N,,
2501,CC1,8,129,173,0.75,O,A3C,10/21/2016,N,,
2501,CC1,8,129,173,0.75,O,A3C,10/21/2016,N,,
2501,CC1,8,80,144,3,H,A3,10/21/2016,N,,
2501,CC1,5,185,203,3.5,O,A6-7,10/21/2016,Y,0.4,
2501,CC1,5,172,186,2,H,A3C-D,10/21/2016,N,,
2501,CC1,5,141,147,5,O,B2-3,10/21/2016,N,,
2501,CC1,5,160,122,2.5,O,B1C,10/21/2016,N,,
2501,CC1,2,27,104,19,O,B,10/21/2016,N,,
2501,CC1,2,47,114,15,H,B,10/21/2016,N,,
2501,CC1,2,47,114,15,H,B,10/21/2016,N,,
2501,CC1,2,173,193,3,O,B1A,10/21/2016,N,,
2501,CC1,2,178,198,2,O,B1A3-4,10/21/2016,N,,
2501,CC1,2,178,198,2,O,B1A3-4,10/21/2016,N,,
2501,CC1,2,182,198,6,O,B1B-C,10/21/2016,N,,
2501,CC1,2,144,180,13,H,B1-2,10/21/2016,Y,1,
2502,CC2,2,28,132,5,O,A,10/21/2016,N,,
2502,CC2,2,91,162,4.5,H,B1A-B,10/21/2016,N,,
2502,CC2,2,117,156,2.5,O,B1B,10/21/2016,N,,
2502,CC2,2,173,162,1.75,O,B1D,10/21/2016,Y,1.35,
2502,CC2,2,224,149,0.5,H,B1E7,10/21/2016,N,,
2502,CC2,2,140,141,2,O,B2,10/21/2016,N,,
2502,CC2,2,231,136,1.75,O,B3A3-4,10/21/2016,N,,
2502,CC2,2,143,197,0.5,H,B1A5,10/21/2016,N,,
2502,CC2,3,142,142,4.5,O,A1A,10/21/2016,N,,
2502,CC2,3,282,112,0.75,H,A1A6G-H,10/21/2016,N,,
2502,CC2,3,241,121,1.75,O,A1A6-7,10/21/2016,N,,
2502,CC2,3,185,161,3.5,O,A1B,10/21/2016,N,,
2502,CC2,3,232,176,2.25,H,A1C,10/21/2016,N,,
2502,CC2,3,261,191,2,O,A1C,10/21/2016,N,,
2502,CC2,3,288,204,1.5,O,A1C1,10/21/2016,N,,
2502,CC2,3,185,178,3,H,A9-10,10/21/2016,N,,
2502,CC2,3,320,146,1,O,A8L,10/21/2016,N,,
2502,CC2,5,74,134,5.5,O,A1-2,10/21/2016,N,,
2502,CC2,5,93,141,2.5,H,A2,10/21/2016,Y,1.56,
2502,CC2,5,140,122,2,O,A3 ,10/21/2016,N,,
2502,CC2,5,140,122,2,O,A3 ,10/21/2016,N,,
2502,CC2,5,190,120,0.5,H,A3C1,10/21/2016,N,,
2502,CC2,5,190,120,0.5,H,A3C1,10/21/2016,N,,
2502,CC2,5,200,104,0.75,O,A3F,10/21/2016,N,,
2502,CC2,5,200,104,0.75,O,A3F,10/21/2016,N,,
2502,CC2,5,108,150,2.5,O,A4,10/21/2016,N,,
2502,CC2,5,128,142,1.5,O,A5,10/21/2016,N,,
2502,CC2,5,20,92,5.5,H,B,10/21/2016,Y,1.5,
2502,CC2,5,20,92,5.5,H,B,10/21/2016,Y,1.47,
2502,CC2,5,42,98,7,O,B,10/21/2016,N,,
2502,CC2,5,42,98,7,O,B,10/21/2016,N,,
2502,CC2,5,118,149,3.5,O,B1-2,10/21/2016,N,,
2502,CC2,5,26,93,4.5,O,C,10/21/2016,N,,
2502,CC2,5,57,94,3.5,H,C1-2,10/21/2016,N,,
2502,CC2,5,97,83,2.5,O,C2,10/21/2016,N,,
2502,CC2,7,54,196,6,O,A,10/21/2016,N,,
2502,CC2,7,135,82,1.5,H,A1A,10/21/2016,Y,1.49,
2502,CC2,7,157,1,1,O,A1A5,10/21/2016,N,,
2502,CC2,7,158,1,1,H,A1A5,10/21/2016,N,,
2502,CC2,7,158,1,1,H,A1A5,10/21/2016,N,,
2502,CC2,7,170,66,0.75,O,A1A5-6,10/21/2016,N,,
2502,CC2,7,136,112,1,O,A1B,10/21/2016,N,,
2502,CC2,7,143,113,1,O,A1B,10/21/2016,N,,
2502,CC2,7,138,113,1.5,O,A1C-D,10/21/2016,N,,
2502,CC2,7,88,103,2.5,H,A2A-B,10/21/2016,Y,1.44,
2502,CC2,7,99,109,2.5,O,A2B-C,10/21/2016,N,,
2502,CC2,7,101,111,2.5,O,A2B-C,10/21/2016,N,,
2502,CC2,7,117,121,2.25,H,A2B-C,10/21/2016,N,,
2502,CC2,7,160,143,1,O,A2C,10/21/2016,N,,
2502,CC2,7,160,143,1,O,A2C,10/21/2016,N,,
2502,CC2,7,168,148,0.75,H,A2C2-3,10/21/2016,N,,
2502,CC2,7,157,150,1.75,O,A2D,10/21/2016,N,,
2502,CC2,7,68,90,1.25,O,B1,10/21/2016,N,,
2502,CC2,1,136,133,4,O,A4-5,10/21/2016,N,,
2502,CC2,1,195,176,3.5,H,A5,10/21/2016,Y,1.38,
2502,CC2,1,216,185,2,O,A5B-C,10/21/2016,N,,
2502,CC2,1,216,185,2,O,A5B-C,10/21/2016,N,,
2502,CC2,1,69,99,1.75,H,B1,10/21/2016,N,,
2502,CC2,6,41,153,6,O,A,10/21/2016,N,,
2502,CC2,6,61,159,5,H,A1,10/21/2016,N,,
2502,CC2,6,76,155,4.5,O,A1,10/21/2016,N,,
2502,CC2,6,110,159,1.5,O,A2A,10/21/2016,N,,
2502,CC2,6,55,171,2.25,H,C1,10/21/2016,N,,
2502,CC2,6,147,121,2,O,B2,10/21/2016,N,,
2502,CC2,6,161,113,1.25,O,B2,10/21/2016,N,,
2503,SJ1,2,-,156,11,O,MT,10/25/2016,N,,
2503,SJ1,2,-,161,11,H,MT,10/25/2016,N,,
2503,SJ1,2,-,168,11,O,MT,10/25/2016,N,,
2503,SJ1,2,49,187,6,O,B,10/25/2016,Y,1.4,
2503,SJ1,2,201,159,2.5,H,A1C,10/25/2016,Y,CW,
2503,SJ1,2,266,149,2,O,A1C,10/25/2016,Y,1.15,
2503,SJ1,2,323,120,1.75,O,A1C,10/25/2016,N,,
2503,SJ1,2,197,166,3,H,A1C-D,10/25/2016,N,,
2503,SJ1,2,199,165,3,O,A1C-D,10/25/2016,N,,
2503,SJ1,2,204,162,3,O,A1C-D,10/25/2016,N,,
2503,SJ1,2,308,162,2.5,H,A4-5,10/25/2016,N,,
2503,SJ1,2,313,162,2.5,O,A4-5,10/25/2016,N,,
2503,SJ1,2,319,163,2.5,O,A4-5,10/25/2016,N,,
2503,SJ1,2,322,163,2.5,H,A4-5,10/25/2016,Y,1.2,
2503,SJ1,2,327,164,2.5,O,A4-5,10/25/2016,N,,
2503,SJ1,3,-,55,9,O,MT,10/25/2016,N,,
2503,SJ1,3,-,66,9,H,MT,10/25/2016,N,,
2503,SJ1,3,-,64,9,O,MT,10/25/2016,N,,
